Record.id,Shared To.id,Permission Type,Sharing Source,Shared By.id,Shared Time,Shared From.id,Share Related Records
zcrm_318358000003013186,zcrm_318358000000307144,,0,zcrm_318358000000245015,2022-01-08 00:33:24,zcrm_318358000003013186,false
zcrm_318358000001446001,zcrm_318358000000307150,,0,zcrm_318358000000245015,2021-04-30 14:29:18,zcrm_318358000001446001,false
zcrm_318358000002096897,zcrm_318358000000307150,,0,zcrm_318358000000245015,2022-01-29 20:26:26,zcrm_318358000002096897,false
zcrm_318358000002893009,zcrm_318358000000307150,,0,zcrm_318358000000245015,2021-10-23 14:57:53,zcrm_318358000002893009,false
zcrm_318358000003013186,zcrm_318358000000307150,,0,zcrm_318358000000245015,2022-01-08 00:33:28,zcrm_318358000003013186,false
zcrm_318358000005717092,zcrm_318358000000307150,,0,zcrm_318358000000245015,2022-07-25 08:44:55,zcrm_318358000005717092,false
zcrm_318358000005771016,zcrm_318358000000307150,,0,zcrm_318358000000245015,2022-07-28 09:59:00,zcrm_318358000005771016,false
