Record Id,Product Owner.id,Product Name,Product Code,Vendor Name.id,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Unit Price,Commission Rate,Tax,Taxable,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Quantity in Demand,Description,Layout.id,Tag,Product Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Record Status,Locked,Last Activity Time
zcrm_318358000004046060,zcrm_318358000000245015,Special Offer,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-02-12 21:56:43,2022-02-12 21:56:43,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005477012,zcrm_318358000000245015,Coaching EN,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-04 14:12:48,2022-07-04 14:12:48,EUR,1.000000000,40.0,,,true,Each,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761003,zcrm_318358000000245015,Sach,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761004,zcrm_318358000000245015,Investment,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761005,zcrm_318358000000245015,Sonstige Versicherungen/Bausparen,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761006,zcrm_318358000000245015,Dynamik,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761007,zcrm_318358000000245015,Kredit,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761008,zcrm_318358000000245015,Sonstige Bank,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761009,zcrm_318358000000245015,Partner DVAG Wien,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
zcrm_318358000005761010,zcrm_318358000000245015,Erfolgsprovision,,,true,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-07-28 12:36:08,2022-07-28 12:36:08,EUR,1.000000000,0.0,,,true,,0.0,0.0,0.0,,0.0,,zcrm_318358000000032007,,,,,,,Available,false,
