Record.id,Shared To.id,Permission Type,Sharing Source,Shared By.id,Shared Time,Shared From.id,Share Related Records
zcrm_318358000001215028,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-03-31 16:00:39,zcrm_318358000000854022,false
zcrm_318358000001294045,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-08 18:56:15,zcrm_318358000000662008,false
zcrm_318358000001323060,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-07-22 14:31:40,zcrm_318358000001323060,false
zcrm_318358000001400016,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-20 13:26:46,zcrm_318358000000829016,false
zcrm_318358000001441036,zcrm_318358000000307144,,0,zcrm_318358000000245015,2021-04-27 16:26:01,zcrm_318358000000953001,false
zcrm_318358000004805028,zcrm_318358000000307144,,0,zcrm_318358000000245015,2022-04-28 18:08:58,zcrm_318358000000953001,false
