Record Id,Campaign Owner.id,Type,Campaign Name,Status,Start Date,End Date,Expected Revenue,Budgeted Cost,Actual Cost,Expected Response,Numbers sent,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Description,Layout.id,Tag,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Parent Campaign.id,Survey Department,Survey Type,Survey,Survey URL,Department ID,Webinar Schedule,Webinar Duration,Webinar Launch URL,Webinar Registration URL,Integration Type,ROI,Campaign Subject,Sender Name,Sender Address,Reply-to Address,Event Name,Event Category,Event Start Date,Event End Date,Event Language,Backstage Portal,Event Location,Locked,Brand,Event Type,Record Status,Last Activity Time
zcrm_318358000000619020,zcrm_318358000000245015,Zoho Webinar,Kick-Off Meeting - weekly,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-01-18 11:33:31,2021-01-18 11:33:31,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-04-05 11:35:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1283423772,https://meeting.zoho.eu/meeting/register?sessionId=1283423772,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000001283678,zcrm_318358000000245015,Google AdWords,Set Yourself Up in Germany,,,,,,19.817314,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-08 14:58:21,2021-04-08 14:58:21,EUR,1.000000000,,zcrm_318358000000032029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,Available,
zcrm_318358000001383047,zcrm_318358000000245015,Email,Geiger Gold,Planning,2021-04-01,2021-06-30,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-04-19 17:58:55,2021-04-19 17:58:55,EUR,1.000000000,,zcrm_318358000000032029,,,2022-09-04 12:27:31,2021-04-19 18:55:15,,,,,,,,,,,,,,,,,,,,,,,,,false,,,Available,2022-09-04 12:27:31
zcrm_318358000001551022,zcrm_318358000000245015,Zoho Webinar,Cash / Flow for Expats in Germany,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-05-11 15:50:44,2021-05-11 15:50:44,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-05-11 16:00:00,30 mins,https://meeting.zoho.eu/meeting/meeting-start?key=1218102724,https://meeting.zoho.eu/meeting/register?sessionId=1218102724,Zoho Webinar,,,,,,,,,,,,,false,,,Available,
zcrm_318358000003016032,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-04 13:20:12,2021-11-04 13:20:12,EUR,1.000000000,,zcrm_318358000000291003,,,2021-11-04 13:44:15,,,,,,,,,2021-11-04 14:00:00,30 mins,https://meeting.zoho.eu/meeting/meeting-start?key=1252884404,https://meeting.zoho.eu/meeting/register?sessionId=1252884404,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,2021-11-04 13:44:15
zcrm_318358000003016039,zcrm_318358000000245015,Zoho Webinar,this is a test,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-04 14:35:15,2021-11-04 14:35:15,EUR,1.000000000,,zcrm_318358000000291003,,,2021-11-04 15:00:47,,,,,,,,,2021-11-04 14:36:00,30 mins,https://meeting.zoho.eu/meeting/meeting-start?key=1241890521,https://meeting.zoho.eu/meeting/register?sessionId=1241890521,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,2021-11-04 15:00:47
zcrm_318358000003018056,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-05 11:10:48,2021-11-08 13:06:10,EUR,1.000000000,,zcrm_318358000000291003,,,2022-07-04 13:27:35,,2021-11-08 13:06:10,,,,,,,1970-01-01 01:00:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1241066623,https://meeting.zoho.eu/meeting/register?sessionId=1241066623,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,2022-07-04 13:27:35
zcrm_318358000003018057,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-05 11:10:48,2021-11-05 11:10:48,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-11-15 13:00:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1210928574,https://meeting.zoho.eu/meeting/register?sessionId=1210928574,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,
zcrm_318358000003018058,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-05 11:10:48,2021-11-05 11:10:48,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-11-22 13:00:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1223915586,https://meeting.zoho.eu/meeting/register?sessionId=1223915586,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,
zcrm_318358000003018059,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-05 11:10:48,2021-11-23 11:38:26,EUR,1.000000000,,zcrm_318358000000291003,,,,,2021-11-23 11:38:26,,,,,,,1970-01-01 01:00:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1256593229,https://meeting.zoho.eu/meeting/register?sessionId=1256593229,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,2021-11-23 11:38:26
zcrm_318358000003018060,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-05 11:10:48,2021-11-05 11:10:48,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-12-06 13:00:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1289397816,https://meeting.zoho.eu/meeting/register?sessionId=1289397816,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,
zcrm_318358000003018061,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-05 11:10:48,2021-11-05 11:10:48,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-12-13 13:00:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1272762649,https://meeting.zoho.eu/meeting/register?sessionId=1272762649,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,
zcrm_318358000003018062,zcrm_318358000000245015,Zoho Webinar,Monday Money Date,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2021-11-05 11:10:48,2021-11-05 11:10:48,EUR,1.000000000,,zcrm_318358000000291003,,,,,,,,,,,,2021-12-20 13:00:00,1:30 hours,https://meeting.zoho.eu/meeting/webinar-start?key=1273594240,https://meeting.zoho.eu/meeting/register?sessionId=1273594240,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,
zcrm_318358000005252008,zcrm_318358000000245015,Zoho Webinar,Pension System in Germany,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-06-10 09:30:11,2022-06-10 09:30:11,EUR,1.000000000,Discover how the German pension system works and how you can benefit from effective retirement planning in Germany and the EU. Suitable for folks from the EU and abroad.,zcrm_318358000000291003,,,2022-09-04 12:27:03,,,,,,,,,2022-06-10 13:00:00,1 hour,https://meeting.zoho.eu/meeting/meeting-start?key=1233670535,https://meeting.zoho.eu/meeting/register?sessionId=1233670535,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,2022-09-04 12:27:03
zcrm_318358000006299001,zcrm_318358000000245015,Zoho Backstage,Family Finances in Germany,Active,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2022-09-21 18:07:19,2022-09-21 18:07:19,EUR,1.000000000,,zcrm_318358000005305678,,,,,,,,,,,,,,,,Zoho Backstage,0.0,,,,,Family Finances in Germany,Webinar,2022-06-27 19:00:00,2022-06-27 20:00:00,English,Your Affluence in Germany,-,false,,,Available,
zcrm_318358000008546019,zcrm_318358000000245015,Zoho Webinar,Social Security in Germany,,,,,,,,,zcrm_318358000000245015,zcrm_318358000000245015,2023-06-08 16:31:41,2023-06-10 21:24:14,EUR,1.000000000,,zcrm_318358000000291003,,,,,2023-06-10 21:24:14,,,,,,,2023-06-13 19:00:00,1 hour,https://meeting.zoho.eu/meeting/meeting-start?key=1243647031,https://meeting.zoho.eu/meeting/register?sessionId=1243647031,Zoho Webinar,0.0,,,,,,,,,,,,false,,,Available,2023-06-10 21:24:14
